Data;20699 - Concessões de crédito com recursos direcionados - Pessoas físicas - Crédito rural com taxas de mercado - R$ (milhões);20700 - Concessões de crédito com recursos direcionados - Pessoas físicas - Crédito rural com taxas reguladas - R$ (milhões);20702 - Concessões de crédito com recursos direcionados - Pessoas físicas - Financiamento imobiliário com taxas de mercado - R$ (milhões);20703 - Concessões de crédito com recursos direcionados - Pessoas físicas - Financiamento imobiliário com taxas reguladas - R$ (milhões);20705 - Concessões de crédito com recursos direcionados - Pessoas físicas - Capital de giro com recursos do BNDES - R$ (milhões);20706 - Concessões de crédito com recursos direcionados - Pessoas físicas - Financiamento de investimentos com recursos do BNDES - R$ (milhões);20707 - Concessões de crédito com recursos direcionados - Pessoas físicas - Financiamento agroindustrial com recursos do BNDES - R$ (milhões);20709 - Concessões de crédito com recursos direcionados - Pessoas físicas - Microcrédito destinado a consumo - R$ (milhões);20710 - Concessões de crédito com recursos direcionados - Pessoas físicas - Microcrédito destinado a microempreendedores - R$ (milhões)
03/2011;39 ;2.523 ;792 ;5.049 ;0 ;116 ;404 ;64 ;256
04/2011;45 ;2.932 ;726 ;5.092 ;0 ;120 ;433 ;67 ;266
05/2011;54 ;3.633 ;887 ;5.906 ;0 ;101 ;397 ;43 ;305
06/2011;68 ;4.209 ;827 ;6.235 ;0 ;99 ;531 ;26 ;305
07/2011;49 ;3.283 ;874 ;6.371 ;1 ;110 ;516 ;19 ;279
08/2011;40 ;6.244 ;985 ;7.181 ;1 ;112 ;312 ;21 ;309
09/2011;82 ;5.882 ;893 ;6.345 ;1 ;114 ;508 ;22 ;281
10/2011;49 ;4.664 ;723 ;5.294 ;0 ;97 ;339 ;34 ;312
11/2011;57 ;4.492 ;839 ;6.217 ;0 ;92 ;556 ;49 ;437
12/2011;78 ;4.502 ;800 ;6.643 ;0 ;93 ;647 ;37 ;498
01/2012;61 ;2.563 ;796 ;5.985 ;0 ;181 ;526 ;32 ;333
02/2012;34 ;2.486 ;679 ;5.390 ;0 ;160 ;428 ;25 ;337
03/2012;66 ;3.185 ;809 ;7.035 ;0 ;111 ;446 ;30 ;415
04/2012;96 ;3.547 ;661 ;5.830 ;0 ;102 ;454 ;29 ;424
05/2012;106 ;4.841 ;757 ;7.028 ;0 ;136 ;461 ;31 ;513
06/2012;190 ;4.924 ;901 ;7.257 ;0 ;136 ;375 ;26 ;493
07/2012;84 ;3.042 ;1.022 ;7.456 ;0 ;205 ;493 ;26 ;445
08/2012;108 ;7.432 ;1.247 ;8.464 ;0 ;227 ;630 ;29 ;504
09/2012;90 ;6.274 ;1.049 ;6.606 ;0 ;172 ;462 ;28 ;429
10/2012;133 ;6.581 ;1.314 ;7.976 ;0 ;259 ;510 ;206 ;570
11/2012;115 ;6.245 ;1.171 ;7.483 ;0 ;317 ;774 ;186 ;617
12/2012;140 ;7.410 ;1.143 ;8.113 ;0 ;396 ;721 ;162 ;624
01/2013;79 ;2.649 ;1.287 ;7.676 ;0 ;476 ;699 ;124 ;506
02/2013;57 ;2.734 ;1.143 ;6.703 ;9 ;348 ;801 ;112 ;458
03/2013;80 ;4.379 ;1.449 ;8.392 ;10 ;278 ;900 ;102 ;535
04/2013;100 ;5.248 ;1.654 ;9.172 ;12 ;457 ;875 ;97 ;592
05/2013;125 ;5.964 ;1.684 ;9.752 ;6 ;309 ;781 ;93 ;635
06/2013;138 ;8.962 ;1.683 ;9.894 ;2 ;195 ;686 ;85 ;684
07/2013;86 ;4.935 ;1.814 ;10.185 ;3 ;258 ;643 ;38 ;606
08/2013;96 ;8.496 ;1.826 ;9.478 ;3 ;302 ;643 ;37 ;680
09/2013;86 ;7.720 ;1.636 ;8.598 ;3 ;336 ;512 ;27 ;661
10/2013;141 ;7.375 ;1.491 ;9.317 ;4 ;332 ;735 ;91 ;902
11/2013;106 ;6.670 ;1.291 ;9.235 ;0 ;460 ;808 ;44 ;1.074
12/2013;87 ;8.195 ;1.270 ;9.946 ;0 ;705 ;1.130 ;22 ;1.269
01/2014;51 ;3.850 ;1.016 ;8.525 ;0 ;588 ;1.177 ;9 ;822
02/2014;37 ;4.433 ;1.022 ;9.304 ;0 ;258 ;513 ;10 ;740
03/2014;63 ;5.073 ;880 ;8.313 ;0 ;142 ;385 ;9 ;710
04/2014;77 ;6.551 ;951 ;9.425 ;0 ;167 ;566 ;10 ;775
05/2014;99 ;8.017 ;1.423 ;10.935 ;0 ;224 ;618 ;12 ;1.010
06/2014;79 ;9.038 ;1.327 ;10.009 ;0 ;272 ;623 ;12 ;1.017
07/2014;118 ;5.968 ;1.330 ;10.711 ;0 ;386 ;827 ;13 ;995
08/2014;120 ;9.634 ;1.329 ;10.050 ;6 ;425 ;804 ;13 ;1.010
09/2014;224 ;9.056 ;1.499 ;10.744 ;13 ;395 ;825 ;14 ;1.014
10/2014;256 ;7.699 ;1.485 ;11.112 ;10 ;358 ;813 ;15 ;880
11/2014;235 ;6.934 ;1.317 ;9.765 ;13 ;328 ;734 ;15 ;977
12/2014;170 ;8.737 ;1.882 ;10.495 ;12 ;415 ;967 ;14 ;1.108
01/2015;119 ;3.844 ;1.731 ;10.074 ;0 ;407 ;701 ;11 ;882
02/2015;203 ;3.386 ;1.145 ;7.358 ;0 ;71 ;646 ;10 ;765
