Data;20665 - Concessões de crédito com recursos livres - Pessoas físicas - Cheque especial - R$ (milhões);20666 - Concessões de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado - R$ (milhões);20667 - Concessões de crédito com recursos livres - Pessoas físicas - Crédito pessoal não consignado vinculado à composição de dívidas - R$ (milhões);20671 - Concessões de crédito com recursos livres - Pessoas físicas - Crédito pessoal consignado total - R$ (milhões);20673 - Concessões de crédito com recursos livres - Pessoas físicas - Aquisição de veículos - R$ (milhões);20674 - Concessões de crédito com recursos livres - Pessoas físicas - Aquisição de outros bens - R$ (milhões);20676 - Concessões de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de veículos - R$ (milhões);20677 - Concessões de crédito com recursos livres - Pessoas físicas - Arrendamento mercantil de outros bens - R$ (milhões);20680 - Concessões de crédito com recursos livres - Pessoas físicas - Cartão de crédito parcelado - R$ (milhões);20681 - Concessões de crédito com recursos livres - Pessoas físicas - Cartão de crédito à vista - R$ (milhões);20679 - Concessões de crédito com recursos livres - Pessoas físicas - Cartão de crédito rotativo - R$ (milhões)
mar/11;23.978;6.198;1.466;8.902;8.276;724;331;12;2.354;30.674;12.798
abr/11;22.810;5.871;1.474;8.154;7.837;655;416;2;1.540;28.554;13.665
mai/11;25.500;6.663;2.128;9.507;8.691;745;701;4;1.716;32.854;12.861
jun/11;24.763;6.786;2.033;9.417;8.193;696;617;9;1.710;32.505;12.652
jul/11;24.016;6.327;1.981;9.200;8.080;693;588;8;1.757;32.992;12.047
ago/11;26.507;7.061;2.084;10.171;9.305;762;323;11;1.906;35.580;11.774
set/11;24.901;6.630;1.727;9.583;8.869;692;170;7;1.903;35.362;13.823
out/11;25.660;6.390;1.866;8.278;8.241;709;126;8;1.665;35.224;14.184
nov/11;25.761;6.999;2.079;10.108;8.878;748;148;7;1.965;36.189;13.051
dez/11;25.252;6.865;2.124;8.235;9.289;985;155;8;2.264;43.724;12.536
jan/12;25.230;6.777;1.935;8.614;7.638;740;117;2;2.101;36.560;12.770
fev/12;24.547;6.580;1.667;8.587;6.765;643;101;2;1.992;33.781;12.765
mar/12;26.280;7.548;2.296;9.173;7.719;732;117;4;2.163;36.569;12.914
abr/12;26.082;7.261;2.140;9.783;6.651;724;81;3;1.957;36.917;12.937
mai/12;26.792;8.113;2.828;12.098;7.411;861;120;7;2.015;38.949;12.994
jun/12;25.110;7.489;2.797;11.265;8.416;758;151;12;1.820;32.995;14.104
jul/12;26.345;6.890;2.890;10.622;8.269;825;88;7;1.893;35.919;12.977
ago/12;26.202;7.159;3.145;11.646;9.456;851;101;4;1.821;33.717;13.317
set/12;23.624;6.045;2.381;8.767;6.312;712;50;3;1.687;37.022;14.031
out/12;27.170;7.272;2.811;11.196;8.198;889;66;3;1.975;44.227;14.079
nov/12;26.226;6.794;2.794;10.093;7.605;833;48;1;1.965;42.153;13.901
dez/12;25.030;6.627;2.625;8.466;8.409;979;62;10;1.975;49.883;14.116
jan/13;26.147;7.199;2.523;11.352;7.715;806;50;4;1.982;44.021;14.742
fev/13;24.850;6.273;2.196;11.669;6.466;650;32;4;1.860;38.791;15.016
mar/13;25.146;7.070;2.409;12.339;7.093;735;40;4;2.006;40.992;14.839
abr/13;27.941;7.657;2.699;13.615;7.663;833;49;5;2.323;44.402;15.086
mai/13;27.084;7.699;3.102;13.591;7.444;870;53;4;2.348;45.529;15.464
jun/13;25.542;6.887;2.640;12.828;6.958;778;71;4;2.104;41.394;15.073
jul/13;27.854;7.080;2.603;12.951;7.869;873;72;3;2.204;48.176;15.150
ago/13;27.030;7.136;2.601;14.042;8.265;850;67;2;2.378;45.569;15.786
set/13;26.807;6.762;2.295;11.765;7.663;814;61;8;2.443;45.814;16.217
out/13;28.705;7.118;2.554;12.551;8.668;816;64;17;2.430;48.787;16.324
nov/13;27.398;6.501;2.638;11.606;8.185;770;67;16;2.260;47.371;16.387
dez/13;28.126;6.639;2.531;10.775;9.462;996;77;3;2.392;59.564;16.674
jan/14;27.413;7.013;2.400;12.072;8.408;799;65;1;2.441;49.900;17.427
fev/14;27.366;6.606;2.246;15.503;7.228;674;50;0;2.562;46.145;18.442
mar/14;28.114;6.603;2.191;12.175;6.654;659;40;12;2.440;48.423;18.515
abr/14;28.104;6.982;2.466;12.960;7.589;650;68;3;2.729;49.197;17.756
mai/14;28.451;7.080;2.696;13.447;7.694;733;59;14;2.557;51.443;17.690
jun/14;28.319;6.650;2.462;13.344;6.853;694;53;1;2.458;49.457;17.576
jul/14;28.566;6.906;2.763;12.868;7.887;684;47;1;2.583;54.574;16.827
ago/14;27.352;6.840;2.634;11.410;7.664;658;47;4;2.499;52.597;16.694
set/14;28.957;7.344;2.623;11.751;8.502;732;51;2;2.430;55.225;15.767
out/14;29.041;7.458;2.627;17.259;8.654;734;57;58;2.360;56.920;16.357
nov/14;27.452;6.473;2.589;14.085;8.138;650;59;2;2.324;52.197;16.119
dez/14;29.447;7.215;2.786;12.058;10.125;856;75;2;2.543;67.563;15.961
jan/15;28.737;7.072;2.738;11.603;7.797;612;44;2;2.583;55.683;17.388
fev/15;27.868;6.281;2.591;11.302;5.961;508;45;15;2.587;47.704;17.111
mar/15;32.214;8.269;3.546;12.764;7.321;608;104;0;2.783;55.863;17.458
abr/15;30.990;7.421;3.436;11.541;6.537;555;108;0;2.702;52.682;16.919
mai/15;30.346;7.125;3.247;11.475;6.404;583;92;20;2.609;55.359;16.081
jun/15;31.544;7.567;3.379;11.475;6.703;592;110;9;2.833;54.000;15.375
jul/15;30.852;7.068;3.564;11.144;6.998;555;118;2;2.803;55.135;14.539
