Data;3993 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Cheque especial - u.m.c. (mil);3994 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Crédito pessoal - u.m.c. (mil);3995 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Financiamento imobiliário - Pessoa física - u.m.c. (mil);3996 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Aquisição de bens veículos - Pessoa física - u.m.c. (mil);3997 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Aquisição de outros bens - Pessoa física - u.m.c. (mil);3998 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Cartão de crédito - Pessoa física - u.m.c. (mil);3999 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Outras operações - Pessoa física - u.m.c. (mil)
06/2000;10.087.071 ;2.201.530 ;8.363 ;1.272.515 ;512.034 ;770.538 ;2.773.318
07/2000;10.106.624 ;2.151.815 ;9.723 ;1.421.114 ;475.118 ;709.862 ;2.602.269
08/2000;10.176.301 ;2.604.805 ;12.752 ;1.759.884 ;484.915 ;814.827 ;2.297.115
09/2000;9.491.349 ;2.499.707 ;12.948 ;1.537.550 ;561.970 ;924.838 ;2.141.425
10/2000;10.763.457 ;2.719.934 ;18.981 ;1.810.586 ;567.896 ;975.760 ;2.409.873
11/2000;10.515.209 ;2.591.728 ;13.063 ;1.933.311 ;577.089 ;1.057.491 ;2.383.710
12/2000;10.132.015 ;2.621.565 ;13.974 ;1.973.069 ;756.128 ;835.730 ;2.537.712
01/2001;11.615.560 ;2.929.537 ;18.869 ;1.940.738 ;594.677 ;1.155.872 ;2.391.721
02/2001;10.426.517 ;2.678.791 ;16.713 ;1.749.125 ;500.391 ;1.086.819 ;2.045.840
03/2001;12.881.568 ;3.358.952 ;19.504 ;2.100.354 ;678.432 ;1.186.942 ;2.625.983
04/2001;11.898.495 ;3.031.060 ;19.409 ;1.819.335 ;609.129 ;990.958 ;2.439.312
05/2001;13.123.863 ;3.301.272 ;22.244 ;1.850.709 ;650.172 ;1.167.100 ;2.608.383
06/2001;12.278.354 ;2.838.954 ;34.926 ;1.707.214 ;578.110 ;1.309.513 ;2.573.574
07/2001;12.961.777 ;2.871.244 ;19.052 ;1.680.139 ;620.805 ;1.021.812 ;2.714.674
08/2001;13.072.759 ;3.159.887 ;34.109 ;1.734.761 ;646.381 ;1.169.113 ;2.775.626
09/2001;11.931.608 ;2.769.566 ;17.771 ;1.426.696 ;591.627 ;1.020.520 ;2.692.739
10/2001;13.717.599 ;3.028.317 ;23.009 ;1.648.500 ;682.730 ;1.240.415 ;2.999.909
11/2001;12.964.675 ;2.643.513 ;13.710 ;1.835.415 ;588.571 ;1.457.923 ;2.856.614
12/2001;12.286.748 ;2.661.601 ;10.880 ;1.824.569 ;720.167 ;1.094.193 ;2.906.885
01/2002;12.800.619 ;3.083.446 ;6.914 ;1.833.048 ;615.846 ;1.534.535 ;2.757.851
02/2002;11.608.190 ;2.764.372 ;7.954 ;1.498.641 ;486.053 ;1.444.691 ;2.446.655
03/2002;12.256.519 ;2.941.078 ;15.772 ;1.830.314 ;541.954 ;1.599.907 ;2.602.277
04/2002;13.493.715 ;3.229.426 ;20.869 ;2.071.769 ;601.063 ;1.779.602 ;2.929.789
05/2002;13.128.411 ;3.188.861 ;20.885 ;1.911.617 ;650.722 ;1.981.831 ;2.741.088
06/2002;12.408.706 ;2.797.383 ;17.735 ;1.512.647 ;575.169 ;1.869.271 ;2.652.252
07/2002;13.493.569 ;2.977.313 ;11.585 ;1.519.666 ;662.675 ;2.112.476 ;3.147.786
08/2002;12.732.159 ;2.888.250 ;10.829 ;1.512.185 ;596.388 ;2.166.527 ;3.095.859
09/2002;12.755.709 ;2.884.925 ;11.319 ;1.720.453 ;646.060 ;2.193.815 ;3.098.823
10/2002;13.717.382 ;3.000.440 ;13.063 ;1.574.252 ;709.633 ;2.188.833 ;3.373.378
11/2002;13.063.880 ;2.564.821 ;11.589 ;1.454.867 ;751.718 ;2.432.782 ;3.174.290
12/2002;13.554.775 ;2.480.299 ;9.406 ;1.707.755 ;858.491 ;2.485.388 ;3.439.115
01/2003;13.175.018 ;2.625.251 ;6.428 ;1.615.286 ;698.642 ;2.757.570 ;3.446.553
02/2003;12.905.112 ;3.003.577 ;3.646 ;1.692.857 ;660.630 ;2.870.542 ;3.173.760
03/2003;13.498.261 ;3.039.274 ;5.371 ;1.534.359 ;686.151 ;2.703.220 ;3.488.495
04/2003;13.917.648 ;3.175.501 ;6.898 ;1.731.812 ;676.814 ;2.627.382 ;3.550.905
05/2003;14.372.769 ;3.265.498 ;16.350 ;1.851.360 ;809.948 ;2.812.318 ;3.654.974
06/2003;13.897.776 ;3.069.320 ;10.363 ;1.863.293 ;769.520 ;2.555.525 ;3.681.246
07/2003;14.592.226 ;3.288.551 ;16.937 ;2.159.451 ;838.432 ;2.553.738 ;3.839.040
08/2003;13.604.374 ;3.210.724 ;13.847 ;1.931.614 ;790.432 ;2.754.259 ;3.540.507
09/2003;14.700.184 ;3.681.282 ;14.050 ;2.314.439 ;851.357 ;2.718.001 ;3.642.009
10/2003;15.211.402 ;3.884.268 ;18.711 ;2.551.121 ;886.627 ;2.956.785 ;3.712.980
11/2003;13.876.693 ;3.396.912 ;16.772 ;2.414.300 ;894.961 ;2.784.994 ;3.349.166
12/2003;14.950.716 ;4.345.343 ;20.438 ;2.888.873 ;1.171.308 ;2.964.710 ;3.766.988
01/2004;13.637.791 ;3.981.335 ;12.168 ;2.474.974 ;983.688 ;3.217.549 ;3.387.164
02/2004;12.872.583 ;3.869.022 ;10.911 ;2.250.710 ;743.004 ;2.877.641 ;3.066.178
03/2004;15.822.076 ;4.878.711 ;17.874 ;2.905.965 ;918.218 ;3.288.137 ;3.845.150
04/2004;14.675.816 ;4.553.873 ;14.428 ;2.405.953 ;846.008 ;3.354.792 ;3.566.067
05/2004;14.963.527 ;4.780.106 ;11.649 ;2.620.053 ;994.755 ;3.143.676 ;3.716.911
06/2004;15.073.175 ;4.746.083 ;14.442 ;2.582.856 ;991.299 ;3.187.575 ;3.617.717
07/2004;15.142.500 ;4.839.074 ;18.392 ;2.694.554 ;1.027.133 ;3.618.102 ;3.624.402
08/2004;15.993.821 ;5.083.296 ;14.605 ;2.756.441 ;1.081.966 ;3.384.107 ;3.677.167
09/2004;15.633.314 ;4.961.655 ;17.990 ;2.784.063 ;988.312 ;3.516.235 ;3.595.108
10/2004;16.000.015 ;5.179.826 ;20.111 ;2.819.193 ;1.054.213 ;3.607.425 ;3.875.182
11/2004;16.578.259 ;5.248.270 ;29.998 ;3.136.311 ;1.170.981 ;4.906.276 ;3.844.245
12/2004;16.411.003 ;5.706.385 ;22.302 ;3.677.576 ;1.459.381 ;3.890.163 ;4.103.307
01/2005;15.170.725 ;5.792.048 ;14.738 ;3.022.935 ;1.092.641 ;4.043.696 ;3.825.706
02/2005;14.841.750 ;5.612.331 ;15.022 ;2.723.695 ;932.420 ;3.996.775 ;3.753.515
03/2005;17.118.375 ;6.931.521 ;15.351 ;3.354.528 ;1.070.153 ;4.127.575 ;4.442.300
04/2005;16.118.813 ;6.349.404 ;18.343 ;3.050.057 ;1.199.714 ;4.471.109 ;4.075.233
05/2005;17.577.136 ;6.548.290 ;21.081 ;3.340.445 ;1.510.413 ;5.192.118 ;4.456.083
