Data;20687 - Concessões de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas de mercado - R$ (milhões);20688 - Concessões de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas reguladas - R$ (milhões);20690 - Concessões de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado - R$ (milhões);20691 - Concessões de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas - R$ (milhões);20693 - Concessões de crédito com recursos direcionados - Pessoas jurídicas - Capital de giro com recursos do BNDES - R$ (milhões);20694 - Concessões de crédito com recursos direcionados - Pessoas jurídicas - Financiamento de investimentos com recursos do BNDES - R$ (milhões);20695 - Concessões de crédito com recursos direcionados - Pessoas jurídicas - Financiamento agroindustrial com recursos do BNDES - R$ (milhões)
03/2011;1.420 ;2.730 ;335 ;1.632 ;50 ;6.007 ;156
04/2011;1.082 ;1.894 ;207 ;1.355 ;92 ;6.592 ;115
05/2011;1.234 ;1.928 ;178 ;1.549 ;187 ;7.528 ;156
06/2011;1.863 ;2.122 ;391 ;1.775 ;252 ;8.587 ;112
07/2011;157 ;2.199 ;236 ;1.569 ;388 ;11.079 ;188
08/2011;418 ;3.564 ;553 ;1.532 ;225 ;9.646 ;155
09/2011;833 ;2.713 ;429 ;1.389 ;199 ;8.465 ;249
10/2011;472 ;2.286 ;249 ;1.371 ;336 ;8.730 ;501
11/2011;795 ;2.082 ;417 ;1.546 ;360 ;12.273 ;186
12/2011;1.298 ;2.199 ;391 ;1.704 ;568 ;16.520 ;153
01/2012;458 ;1.197 ;198 ;1.510 ;484 ;5.655 ;71
02/2012;326 ;1.463 ;401 ;1.525 ;426 ;6.625 ;79
03/2012;806 ;1.905 ;403 ;1.869 ;322 ;7.371 ;258
04/2012;786 ;1.861 ;353 ;1.567 ;540 ;7.703 ;302
05/2012;769 ;1.861 ;431 ;1.660 ;306 ;7.923 ;105
06/2012;1.073 ;1.909 ;776 ;1.905 ;818 ;7.359 ;158
