Data;20636 - Concessões de crédito com recursos livres - Pessoas jurídicas - Desconto de duplicatas e recebíveis - R$ (milhões);20637 - Concessões de crédito com recursos livres - Pessoas jurídicas - Desconto de cheques - R$ (milhões);20638 - Concessões de crédito com recursos livres - Pessoas jurídicas - Antecipação de faturas de cartão de crédito - R$ (milhões);20639 - Concessões de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo de até 365 dias - R$ (milhões);20640 - Concessões de crédito com recursos livres - Pessoas jurídicas - Capital de giro com prazo superior a 365 dias - R$ (milhões);20641 - Concessões de crédito com recursos livres - Pessoas jurídicas - Capital de giro rotativo - R$ (milhões);20643 - Concessões de crédito com recursos livres - Pessoas jurídicas - Conta garantida - R$ (milhões);20644 - Concessões de crédito com recursos livres - Pessoas jurídicas - Cheque especial - R$ (milhões);20645 - Concessões de crédito com recursos livres - Pessoas jurídicas - Aquisição de veículos - R$ (milhões);20646 - Concessões de crédito com recursos livres - Pessoas jurídicas - Aquisição de outros bens - R$ (milhões);20648 - Concessões de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de veículos - R$ (milhões);20649 - Concessões de crédito com recursos livres - Pessoas jurídicas - Arrendamento mercantil de outros bens - R$ (milhões);20651 - Concessões de crédito com recursos livres - Pessoas jurídicas - Vendor - R$ (milhões);20652 - Concessões de crédito com recursos livres - Pessoas jurídicas - Compror - R$ (milhões);20653 - Concessões de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito rotativo - R$ (milhões);20654 - Concessões de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito parcelado - R$ (milhões);20655 - Concessões de crédito com recursos livres - Pessoas jurídicas - Cartão de crédito à vista - R$ (milhões);20657 - Concessões de crédito com recursos livres - Pessoas jurídicas - Adiantamento sobre contratos de câmbio (ACC) - R$ (milhões);20658 - Concessões de crédito com recursos livres - Pessoas jurídicas - Financiamento a importações - R$ (milhões);20659 - Concessões de crédito com recursos livres - Pessoas jurídicas - Financiamento a exportações - R$ (milhões);20660 - Concessões de crédito com recursos livres - Pessoas jurídicas - Repasse externo - R$ (milhões);20661 - Concessões de crédito com recursos livres - Pessoas jurídicas - Outros créditos livres - R$ (milhões)
mar/11;10.861;4.665;1.771;8.636;10.673;3.543;22.469;18.579;1.084;243;499;501;2328;6819;891;24;1472;7723;526;1440;798;6507
abr/11;10.222;4.336;1.659;7.791;9.403;3.349;21.663;17.277;1.031;248;471;415;2034;5839;908;22;1390;8120;408;3168;502;5595
mai/11;10.963;4.757;1.948;8.916;11.683;4.160;23.136;19.173;1.148;278;546;598;2226;7104;989;28;1252;8512;550;2007;582;5631
jun/11;10.715;4.441;1.832;10.209;11.684;4.435;23.065;18.288;1.202;269;472;435;2123;7070;1055;23;1244;7373;459;2330;509;7132
jul/11;10.481;4.371;1.777;9.264;10.532;3.723;22.876;17.910;1.220;436;451;795;1944;6428;1260;25;1514;8066;385;1414;557;5565
ago/11;11.129;4.784;1.988;9.159;18.260;4.261;23.442;19.285;1.324;434;422;551;2263;7094;935;26;2034;8970;566;2442;338;5766
set/11;11.123;4.395;1.890;8.916;10.506;4.346;22.186;18.055;1.280;543;390;524;2292;6807;1025;31;2043;9383;451;2481;509;6726
out/11;11.017;4.195;1.940;8.482;10.246;4.187;22.202;18.268;1.144;314;362;584;2248;6182;1145;20;2141;6074;500;1560;415;6755
nov/11;11.430;4.456;2.097;9.398;12.849;4.735;22.080;18.569;1.224;807;364;426;2130;6774;1085;21;2449;6276;591;4332;299;6843
dez/11;11.558;4.405;2.223;11.711;15.118;5.111;24.097;18.405;1.357;982;409;614;2307;8577;1049;22;1898;7538;651;4061;464;11275
jan/12;9.964;4.159;2.274;6.958;9.205;3.405;22.630;18.868;1.030;299;335;455;1718;5335;863;21;1839;7030;475;2831;261;6087
fev/12;10.209;3.958;1.960;7.530;9.212;3.240;20.730;17.323;1.011;468;347;359;1586;5627;841;20;1788;6010;423;1855;350;5540
mar/12;12.332;4.444;2.045;10.346;11.717;4.508;22.956;19.315;1.323;683;382;452;1921;7174;899;27;2018;10366;513;4324;681;7966
abr/12;11.333;4.252;2.054;9.660;11.385;4.573;22.600;18.785;1.131;252;341;387;1745;5934;1029;22;1935;10928;540;2460;789;6823
mai/12;11.978;4.642;2.289;9.925;14.969;5.604;23.497;19.551;1.210;260;316;411;1731;8478;1039;25;2056;9265;1407;4299;790;6807
jun/12;11.910;4.199;2.166;8.232;16.119;5.288;21.767;18.339;1.250;386;282;363;1786;8274;1181;21;1731;7283;1575;4038;1495;9679
jul/12;11.973;4.438;2.313;8.789;11.071;4.636;23.111;19.407;1.140;296;302;417;1775;7408;1096;26;1881;8751;723;3629;610;7350
ago/12;12.868;4.719;2.353;8.499;12.851;5.292;22.709;19.543;1.243;415;260;384;1998;7856;1071;28;1915;9427;734;2439;808;8180
set/12;11.984;3.987;2.138;8.357;12.127;4.519;20.418;17.350;980;389;268;676;1982;6170;1087;30;2272;7725;432;3547;541;9360
out/12;12.931;4.760;2.568;10.019;14.358;5.273;22.705;19.963;1.089;526;297;574;2239;7440;1121;30;2423;7547;571;5445;417;8945
nov/12;13.196;4.454;2.534;9.576;13.365;5.477;21.997;18.927;1.058;319;227;460;2212;7694;1349;31;2561;6865;542;3027;734;8198
dez/12;13.779;4.230;2.513;11.937;15.863;6.381;22.379;18.117;1.071;658;243;590;2061;8033;1357;37;2716;5611;601;2046;2741;10933
jan/13;12.498;4.280;2.682;7.395;9.890;4.845;22.644;19.902;854;340;184;684;1982;6129;1330;30;2201;5046;607;1366;2213;5766
fev/13;12.013;3.842;2.243;7.532;9.922;4.440;19.891;17.786;869;426;164;451;1910;5008;1282;29;2022;6099;416;4915;230;6290
mar/13;14.049;4.031;2.293;8.447;12.365;5.074;20.289;18.511;997;598;193;492;2101;6557;1296;39;3472;7806;478;4584;251;8793
abr/13;14.309;4.382;2.665;8.187;11.643;5.674;21.526;20.334;1.175;354;266;326;2091;7047;1452;49;2469;7331;398;5934;366;8069
mai/13;14.624;4.287;3.327;8.010;12.348;6.024;21.508;19.940;1.176;371;261;476;1884;7359;1469;47;2865;10365;473;11141;370;9048
jun/13;15.554;3.988;3.354;8.485;13.783;6.190;20.693;18.596;1.085;301;243;337;2030;6888;1493;43;3071;8293;624;2978;1540;9396
jul/13;14.874;4.277;3.397;7.137;11.842;4.882;22.704;20.334;1.076;354;250;349;1812;6566;1513;45;2524;7447;695;2231;668;7707
ago/13;14.779;4.178;3.397;7.318;10.488;5.472;21.310;19.898;1.138;517;254;557;2079;7162;1606;57;2391;8107;618;2514;582;8540
set/13;16.654;3.894;3.398;7.502;10.115;5.316;20.325;19.490;1.102;498;247;284;2414;7220;1619;881;2345;6960;616;3495;3311;9537
out/13;16.112;4.299;3.637;8.896;13.553;5.279;23.091;20.901;1.161;460;257;557;2369;7277;1633;313;2531;6346;565;3269;403;8690
nov/13;17.027;3.931;3.547;9.619;12.478;4.138;21.368;19.561;997;581;211;774;2397;8092;1696;657;2394;5616;516;1762;1093;9234
dez/13;17.737;3.993;4.246;11.597;14.968;4.496;23.170;19.945;1.113;767;261;417;2654;9690;1610;999;2406;7027;627;4862;2131;11589
jan/14;13.652;3.752;3.853;6.480;8.238;3.442;22.642;21.046;834;463;164;752;2078;6143;1613;308;2416;5786;542;2219;336;7511
fev/14;14.628;3.667;3.354;7.338;9.890;3.130;21.139;19.480;978;666;167;320;1909;7248;1651;302;2428;8201;569;2110;210;7399
mar/14;16.930;3.492;3.507;7.569;9.361;3.158;21.417;20.009;984;550;230;369;2000;7951;1758;1221;2481;8011;560;3288;2326;9834
abr/14;15.201;3.675;4.439;8.901;13.298;3.240;20.885;20.269;1.006;594;216;659;1781;7529;1828;516;2507;7687;511;2732;1300;8311
mai/14;16.170;3.698;4.321;8.893;13.324;3.385;20.932;20.492;1.100;819;220;515;1647;7932;1836;364;2585;8865;483;4231;435;7938
jun/14;16.085;3.419;5.747;7.961;13.014;3.655;20.946;19.926;1.010;651;245;499;1969;7276;1855;1325;2131;8727;525;4845;659;9886
jul/14;14.583;3.587;4.002;8.059;9.361;3.139;21.198;20.589;936;794;228;308;1674;6534;1683;605;2594;8058;708;2097;1413;7430
ago/14;13.731;3.407;4.142;6.917;12.304;3.220;20.891;19.258;1.031;527;225;528;1738;7151;1833;948;2586;6998;451;3086;276;7820
set/14;16.826;3.637;5.347;8.402;11.775;3.569;20.726;20.275;1.279;826;220;515;2596;8325;1759;1019;2655;6401;615;3654;1153;11025
out/14;15.636;3.718;3.190;7.754;12.100;3.841;21.323;20.259;1.203;844;235;274;2352;8191;1925;401;2836;8574;515;2437;231;8353
nov/14;14.961;3.346;3.833;7.131;12.124;4.288;20.113;19.137;1.003;443;230;291;2118;8202;1917;349;3143;6701;491;3425;699;8939
dez/14;19.661;3.635;6.535;9.910;15.715;5.264;23.827;20.992;1.180;654;305;387;2831;10108;1960;903;3013;8331;619;3625;817;11049
jan/15;12.335;3.043;3.335;7.325;9.224;3.242;21.478;21.271;701;493;236;794;1423;5877;1923;322;3000;9413;505;2035;275;6041
fev/15;12.136;2.846;3.931;6.568;7.358;3.002;19.487;19.736;637;308;124;341;1325;6653;1863;555;2783;6234;558;1735;260;6046
mar/15;16.201;3.276;5.036;8.516;12.865;3.784;22.811;23.165;914;383;146;374;2016;8105;1962;1006;3421;8091;627;3028;1069;10114
abr/15;13.859;3.029;3.793;7.400;10.172;3.365;22.502;22.467;827;525;161;436;1616;6239;2050;404;3417;12246;596;2681;79;6392
mai/15;13.362;2.905;3.851;7.719;10.943;3.338;20.551;21.520;776;668;159;327;1454;6286;2049;441;3328;11337;505;3274;381;8862
jun/15;15.444;2.983;4.423;7.695;12.117;3.027;21.649;22.655;772;502;161;292;1584;7498;2023;900;3270;10807;523;8029;120;9251
jul/15;13.092;2.991;4.362;6.488;11.146;2.261;21.664;22.455;836;480;132;431;1428;6583;2030;502;3639;9877;512;2813;480;8157
ago/15;13.572;2.765;4.593;5.223;9.257;2.990;20.169;21.463;802;367;213;255;1390;6894;2038;401;3500;7482;611;3628;274;8142
set/15;16.624;2.851;6.588;6.572;8.591;3.016;20.424;21.590;792;349;154;242;1897;6685;2070;920;3579;10649;423;4928;1036;8495
out/15;14.556;2.634;4.824;5.533;10.489;3.236;20.899;21.710;758;328;117;411;1648;6171;2167;474;3351;9120;470;3682;256;6740
nov/15;14.802;2.579;5.127;5.787;10.185;3.233;19.939;21.215;767;316;132;224;1549;6600;2068;424;3203;8712;642;4450;1569;7487
dez/15;19.463;2.653;7.580;6.965;14.718;3.589;21.695;21.233;852;474;209;474;1840;8646;1942;1259;2946;11326;411;5571;2568;10629
