Data;3981 - Concessões consolidadas das operações de crédito com recursos livres referenciais para taxa de juros - Hot money - u.m.c. (mil);3982 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Desconto de duplicatas - u.m.c. (mil);3983 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Desconto de notas promissórias - u.m.c. (mil);3984 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Capital de giro - u.m.c. (mil);3985 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Conta garantida - u.m.c. (mil);3986 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Financiamento imobiliário - Pessoa jurídica - u.m.c. (mil);3987 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Aquisição de bens - Pessoa jurídica - u.m.c. (mil);3988 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Vendor - u.m.c. (mil);3989 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Adiantamento sobre contrato de câmbio (ACC) - u.m.c. (mil);3990 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Export notes - u.m.c. (mil);3991 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Repasses externos - u.m.c. (mil);3992 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Outras operações - Pessoa jurídica - u.m.c. (mil);8311 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Financiamento a importações e outros - u.m.c. (mil);12124 - Operações de crédito com recursos livres - pessoas jurídicas - rural - R$ (milhões)
jun/00;820.443;3.048.976;660.144;3.881.166;11.582.781;11.336;391.806;1.450.461;3.812.772;68.507;1.649.649;6.514.708;397.657;924
jul/00;1.010.563;2.706.251;688.952;4.218.085;11.861.585;20.296;557.674;1.894.550;3.677.692;20.176;1.273.589;6.258.832;546.609;891
ago/00;799.299;2.998.662;676.467;3.997.637;11.301.894;46.045;526.302;2.187.790;3.991.201;32.947;1.138.902;6.723.082;649.134;973
set/00;927.629;3.196.508;610.388;4.328.514;10.758.546;18.901;518.294;2.074.016;4.029.950;24.410;1.147.600;7.686.998;329.787;1.063
out/00;814.527;3.403.384;663.119;4.055.536;11.671.368;14.990;702.208;2.496.183;4.538.404;3.766;978.638;8.478.162;723.840;1.014
nov/00;815.885;3.311.985;649.503;4.436.265;11.545.541;23.807;792.631;2.482.774;3.946.559;23.326;1.449.921;9.332.084;936.436;995
dez/00;1.051.848;3.304.805;672.681;5.564.545;12.184.748;18.698;815.990;2.662.870;4.030.299;21.233;2.788.223;9.542.475;1.041.812;970
jan/01;1.102.626;3.220.333;600.533;4.166.840;12.605.252;8.521;934.662;2.439.904;4.195.711;12.059;1.329.802;10.039.081;977.374;986
fev/01;794.438;2.864.823;511.430;3.639.743;10.880.057;7.387;609.114;2.213.189;4.439.640;3.640;1.839.684;8.303.533;801.532;1.205
mar/01;852.871;3.650.862;663.031;5.072.082;12.409.916;10.077;603.533;2.575.327;5.859.462;0;1.767.023;9.866.784;982.937;1.196
abr/01;797.472;3.377.943;589.229;4.599.927;12.235.112;8.162;715.310;2.391.541;5.374.583;7.357;1.936.634;9.342.004;940.519;1.134
mai/01;855.935;3.687.403;615.338;4.791.954;12.522.619;15.286;722.780;2.703.219;4.964.711;14.700;2.646.361;10.485.200;1.538.302;1.108
jun/01;998.762;3.411.948;526.074;4.987.111;12.643.535;14.789;751.861;2.512.890;5.029.372;3.000;2.331.277;9.364.083;1.217.950;760
jul/01;938.900;3.572.076;549.447;6.254.962;13.322.171;17.270;831.223;2.425.691;5.948.511;16.857;1.858.602;10.054.404;1.248.381;682
ago/01;1.048.245;3.793.624;576.946;4.843.605;14.157.095;14.168;767.069;2.507.680;4.921.276;3.238;2.510.631;9.772.250;1.274.245;642
set/01;1.170.188;3.434.552;465.093;5.132.347;12.992.260;57.026;694.212;2.479.824;4.315.797;1.798;2.249.996;8.945.401;940.055;706
out/01;1.191.632;3.862.933;524.387;6.804.801;14.569.564;18.396;758.718;2.673.476;4.388.247;9.059;2.848.966;10.433.213;957.349;781
nov/01;949.564;3.889.927;482.223;6.699.111;14.159.439;7.703;686.303;2.771.637;4.233.502;5.508;1.622.668;9.824.568;674.962;781
dez/01;989.624;3.750.428;443.772;6.890.920;13.664.298;6.860;730.939;2.835.189;4.044.968;14.952;2.872.306;10.301.528;1.146.457;737
jan/02;994.324;3.565.140;432.069;5.324.118;13.976.258;6.203;804.447;2.273.225;4.996.721;4.352;2.481.054;9.492.434;768.413;748
fev/02;760.737;3.239.113;362.962;4.931.102;12.698.249;6.452;691.200;2.096.557;4.364.666;6.980;2.776.317;7.924.739;551.002;760
