Data;7518 - Operações de crédito do sistema financeiro - Recursos direcionados - Habitacional - u.m.c. (milhões);7519 - Operações de crédito do sistema financeiro - Recursos direcionados - Rural - u.m.c. (milhões);7520 - Operações de crédito do sistema financeiro - Recursos direcionados - BNDES-Direto - u.m.c. (milhões);7521 - Operações de crédito do sistema financeiro - Recursos direcionados - BNDES-Repasses - u.m.c. (milhões);7522 - Operações de crédito do sistema financeiro - Recursos direcionados - BNDES-Total - u.m.c. (milhões);7523 - Operações de crédito do sistema financeiro - Recursos direcionados - Outros - u.m.c. (milhões);12131 - Operações de crédito do sistema financeiro com recursos direcionados concedidos por Bancos e Agências de Fomento - Rural - R$ (milhões);12132 - Operações de crédito do sistema financeiro com recursos direcionados concedidos por Cooperativas - Rural - R$ (milhões)
jun/00;57.474;20.985;30.467;25.692;56.159;3.182;20.649;336
jul/00;57.723;20.799;30.342;25.883;56.225;3.525;20.481;318
ago/00;57.482;20.658;28.084;26.441;54.524;3.153;20.357;302
set/00;57.230;19.305;27.990;26.778;54.768;3.174;18.951;354
out/00;55.569;19.610;28.732;27.601;56.333;3.178;19.195;414
nov/00;53.469;20.204;29.964;28.994;58.958;3.193;19.728;476
dez/00;52.858;20.872;30.947;30.803;61.750;3.203;20.381;492
jan/01;50.791;20.814;30.977;30.951;61.928;3.207;20.318;496
fev/01;50.664;21.110;31.700;31.397;63.097;3.239;20.634;476
mar/01;50.667;21.089;32.131;32.857;64.988;3.256;20.600;489
abr/01;50.320;21.354;30.167;33.251;63.418;3.280;20.843;511
mai/01;50.063;21.576;31.346;33.670;65.016;2.881;21.031;545
jun/01;20.164;17.611;31.668;32.915;64.582;2.883;17.101;510
jul/01;20.679;17.662;32.142;33.381;65.523;2.922;17.203;460
ago/01;20.975;18.028;34.029;34.539;68.568;2.923;17.582;445
set/01;21.429;18.865;34.817;34.965;69.783;2.948;18.348;518
out/01;21.662;19.661;34.741;35.351;70.092;3.004;19.060;601
nov/01;21.895;20.248;34.636;35.648;70.284;3.182;19.632;616
dez/01;22.038;19.705;34.632;35.930;70.562;3.184;19.068;637
jan/02;22.119;19.740;35.012;36.285;71.297;3.200;19.060;680
fev/02;22.084;20.449;35.758;36.163;71.922;3.204;19.744;705
mar/02;22.042;20.204;35.814;36.394;72.208;3.228;19.477;728
abr/02;22.014;20.299;36.067;36.598;72.664;3.270;19.587;712
mai/02;22.137;20.505;37.114;37.038;74.151;3.290;19.768;737
jun/02;22.189;20.509;38.033;37.139;75.171;3.313;19.768;742
jul/02;22.072;20.035;40.849;38.119;78.968;3.362;19.360;675
ago/02;22.022;20.226;41.317;38.439;79.756;3.370;19.567;659
set/02;22.347;21.574;48.208;40.786;88.994;3.437;20.822;752
out/02;22.377;22.709;48.269;41.568;89.838;3.223;21.839;870
nov/02;22.488;23.552;48.906;42.046;90.952;3.242;22.710;842
dez/02;22.605;24.854;49.841;43.590;93.430;3.297;23.989;864
jan/03;22.375;26.170;49.934;43.980;93.914;3.300;25.288;882
fev/03;22.491;27.009;50.438;44.114;94.552;3.348;26.123;886
mar/03;22.633;27.190;50.031;42.762;92.793;3.356;26.274;916
abr/03;22.790;27.706;47.723;41.483;89.206;3.339;26.789;917
mai/03;22.823;28.582;48.127;41.464;89.590;3.375;27.624;958
jun/03;23.215;29.766;48.826;41.549;90.375;3.404;28.761;1.005
jul/03;23.281;29.258;50.863;42.076;92.939;3.470;28.305;954
ago/03;23.396;29.909;50.545;42.288;92.833;3.506;28.941;968
set/03;23.480;31.787;50.482;42.749;93.231;3.536;30.648;1.139
out/03;23.551;33.373;50.474;43.729;94.203;3.593;32.175;1.199
nov/03;23.657;33.905;52.605;46.503;99.108;3.664;32.735;1.170
