Data;4000 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Total geral - u.m.c. (mil);4001 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Total pessoa jurídica - u.m.c. (mil);4002 - Concessões consolidadas das operações de crédito com recursos livres referenciais                para taxa de juros - Total pessoa física - u.m.c. (mil);20020 - Operações de crédito do sistema financeiro - Recursos direcionados - P físicas - R$ (milhões);20021 - Operações de crédito do sistema financeiro - Recursos direcionados - P jurídicas - R$ (milhões)
jun/00;51.915.775;34.290.406;17.625.369;78.459;59.340
jul/00;52.211.379;34.734.854;17.476.525;78.522;59.751
ago/00;53.219.961;35.069.362;18.150.599;78.141;57.677
set/00;52.821.328;35.651.541;17.169.787;76.536;57.941
out/00;57.810.612;38.544.125;19.266.487;75.178;59.511
nov/00;58.818.318;39.746.717;19.071.601;73.673;62.151
dez/00;62.570.420;43.700.227;18.870.193;73.730;64.954
jan/01;62.279.672;41.632.698;20.646.974;71.605;65.135
fev/01;55.412.406;36.908.210;18.504.196;71.774;66.336
mar/01;67.165.640;44.313.905;22.851.735;71.756;68.244
abr/01;63.123.491;42.315.793;20.807.698;71.674;66.697
mai/01;68.287.550;45.563.808;22.723.742;71.638;67.897
jun/01;65.113.297;43.792.652;21.320.645;37.775;67.465
jul/01;68.927.998;47.038.495;21.889.503;38.341;68.445
ago/01;68.782.708;46.190.072;22.592.636;39.003;71.491
set/01;63.329.076;42.878.549;20.450.527;40.294;72.730
out/01;72.381.220;49.040.741;23.340.479;41.323;73.096
nov/01;68.367.536;46.007.115;22.360.421;42.143;73.466
dez/01;69.197.284;47.692.241;21.505.043;41.744;73.746
jan/02;67.751.017;45.118.758;22.632.259;41.859;74.497
fev/02;60.666.632;40.410.076;20.256.556;42.533;75.126
mar/02;64.140.803;42.352.982;21.787.821;42.246;75.436
abr/02;70.484.451;46.358.218;24.126.233;42.313;75.935
mai/02;68.559.563;44.936.149;23.623.415;42.642;77.441
