Data;2007 - Saldos das operacoes de credito das instituicoes financeiras sob controle publico - Total - R$ (milhoes);2043 - Saldos das operacoes de credito das instituicoes financeiras sob controle privado - Total - R$ (milhoes);12106 - Saldos das operacoes de credito das instituicoes financeiras sob controle privado nacional - Total - R$ (milhoes);12150 - Saldos das operacoes de credito das instituicoes financeiras sob controle estrangeiro - Total - R$ (milhoes)
06/1988;0 ;0 ;0 ;0
07/1988;0 ;0 ;0 ;0
08/1988;0 ;0 ;0 ;0
09/1988;0 ;0 ;0 ;0
10/1988;0 ;0 ;0 ;0
11/1988;0 ;0 ;0 ;0
12/1988;0 ;0 ;0 ;0
01/1989;0 ;0 ;0 ;0
02/1989;0 ;0 ;0 ;0
03/1989;0 ;0 ;0 ;0
04/1989;0 ;0 ;0 ;0
05/1989;0 ;0 ;0 ;0
06/1989;0 ;0 ;0 ;0
07/1989;0 ;0 ;0 ;0
08/1989;0 ;0 ;0 ;0
09/1989;0 ;0 ;0 ;0
10/1989;0 ;0 ;0 ;0
11/1989;0 ;0 ;0 ;0
12/1989;0 ;0 ;0 ;0
01/1990;1 ;0 ;0 ;0
02/1990;1 ;0 ;0 ;0
03/1990;1 ;1 ;1 ;0
04/1990;1 ;1 ;1 ;0
05/1990;1 ;1 ;1 ;0
06/1990;2 ;1 ;1 ;0
07/1990;2 ;1 ;1 ;0
08/1990;2 ;1 ;1 ;0
09/1990;3 ;1 ;1 ;0
10/1990;2 ;2 ;1 ;1
11/1990;3 ;2 ;1 ;1
12/1990;4 ;2 ;1 ;1
01/1991;4 ;3 ;2 ;1
02/1991;5 ;3 ;2 ;1
03/1991;6 ;3 ;2 ;1
04/1991;7 ;3 ;2 ;1
05/1991;7 ;4 ;3 ;1
06/1991;8 ;4 ;3 ;1
07/1991;8 ;5 ;4 ;1
08/1991;9 ;6 ;4 ;2
09/1991;12 ;6 ;5 ;1
10/1991;14 ;8 ;6 ;2
11/1991;18 ;10 ;8 ;2
12/1991;23 ;12 ;10 ;2
01/1992;28 ;17 ;13 ;4
02/1992;35 ;21 ;16 ;5
03/1992;44 ;25 ;19 ;6
04/1992;53 ;31 ;24 ;7
05/1992;65 ;38 ;29 ;9
06/1992;84 ;47 ;36 ;11
07/1992;104 ;58 ;45 ;13
08/1992;129 ;73 ;57 ;16
09/1992;164 ;91 ;71 ;20
10/1992;205 ;117 ;90 ;27
11/1992;260 ;149 ;116 ;33
12/1992;331 ;192 ;149 ;43
01/1993;416 ;243 ;189 ;54
02/1993;530 ;313 ;246 ;67
03/1993;669 ;398 ;318 ;80
04/1993;865 ;521 ;419 ;102
05/1993;1.144 ;694 ;560 ;134
06/1993;1.496 ;915 ;740 ;175
07/1993;1.984 ;1.231 ;994 ;237
08/1993;2.697 ;1.651 ;1.312 ;339
09/1993;3.615 ;2.292 ;1.860 ;432
10/1993;5.052 ;3.236 ;2.628 ;608
11/1993;6.901 ;4.526 ;3.635 ;891
12/1993;9.450 ;6.339 ;5.127 ;1.212
01/1994;13.360 ;8.655 ;6.924 ;1.731
02/1994;18.593 ;13.026 ;10.652 ;2.374
03/1994;25.598 ;19.531 ;16.171 ;3.360
04/1994;36.881 ;27.015 ;21.889 ;5.126
05/1994;54.769 ;40.126 ;32.497 ;7.629
06/1994;80.097 ;60.656 ;49.120 ;11.536
07/1994;86.922 ;64.487 ;52.291 ;12.196
08/1994;91.945 ;69.582 ;57.402 ;12.180
09/1994;95.850 ;74.324 ;61.986 ;12.338
10/1994;99.930 ;77.800 ;65.216 ;12.584
11/1994;104.582 ;79.344 ;66.938 ;12.406
12/1994;105.372 ;81.483 ;69.086 ;12.397
01/1995;109.398 ;83.726 ;70.984 ;12.742
02/1995;112.395 ;88.173 ;74.849 ;13.324
03/1995;116.418 ;91.568 ;77.590 ;13.978
04/1995;121.153 ;93.995 ;79.770 ;14.225
05/1995;125.657 ;96.224 ;81.084 ;15.140
06/1995;127.460 ;98.691 ;82.592 ;16.099
07/1995;121.937 ;101.230 ;84.580 ;16.650
08/1995;122.690 ;101.846 ;84.678 ;17.168
09/1995;125.043 ;104.308 ;86.323 ;17.985
10/1995;127.394 ;105.635 ;86.969 ;18.666
11/1995;131.071 ;106.837 ;85.464 ;21.373
12/1995;131.506 ;107.136 ;85.527 ;21.609
01/1996;131.306 ;106.048 ;83.815 ;22.233
02/1996;133.922 ;106.621 ;83.638 ;22.983
03/1996;136.103 ;108.449 ;85.097 ;23.352
04/1996;136.403 ;108.987 ;84.626 ;24.361
05/1996;137.502 ;108.794 ;83.689 ;25.105
06/1996;138.335 ;109.663 ;84.230 ;25.433
07/1996;137.429 ;110.695 ;84.174 ;26.521
08/1996;137.696 ;109.615 ;82.770 ;26.845
09/1996;137.511 ;111.372 ;83.658 ;27.714
10/1996;139.076 ;113.570 ;84.876 ;28.694
11/1996;141.366 ;110.393 ;80.965 ;29.428
12/1996;139.492 ;113.016 ;82.623 ;30.393
01/1997;141.825 ;112.905 ;82.400 ;30.505
02/1997;142.905 ;114.476 ;83.490 ;30.986
03/1997;145.929 ;114.042 ;78.810 ;35.232
04/1997;147.048 ;116.092 ;79.922 ;36.170
05/1997;149.728 ;117.841 ;81.170 ;36.671
06/1997;152.245 ;120.440 ;81.755 ;38.685
07/1997;154.813 ;121.899 ;82.997 ;38.902
08/1997;157.304 ;123.811 ;84.066 ;39.745
09/1997;159.686 ;126.098 ;85.908 ;40.190
10/1997;162.474 ;127.609 ;88.209 ;39.400
11/1997;165.058 ;127.544 ;88.025 ;39.519
12/1997;132.921 ;126.767 ;85.933 ;40.834
01/1998;133.890 ;125.356 ;85.065 ;40.291
02/1998;138.588 ;125.974 ;89.050 ;36.924
03/1998;138.222 ;126.028 ;86.570 ;39.458
04/1998;139.460 ;126.727 ;87.577 ;39.150
05/1998;140.100 ;127.913 ;86.501 ;41.412
06/1998;140.745 ;126.352 ;85.861 ;40.491
07/1998;139.821 ;126.962 ;83.554 ;43.408
08/1998;140.169 ;128.019 ;83.521 ;44.498
09/1998;143.718 ;127.572 ;83.121 ;44.451
10/1998;144.891 ;126.483 ;82.050 ;44.433
11/1998;152.896 ;125.856 ;81.532 ;44.324
12/1998;152.394 ;124.492 ;80.495 ;43.997
01/1999;147.450 ;138.126 ;86.181 ;51.945
02/1999;146.662 ;141.860 ;88.705 ;53.155
03/1999;146.925 ;134.205 ;85.057 ;49.148
04/1999;145.370 ;133.236 ;84.825 ;48.411
05/1999;146.782 ;133.384 ;84.844 ;48.540
06/1999;146.029 ;134.127 ;80.191 ;53.936
07/1999;146.230 ;135.861 ;81.027 ;54.834
08/1999;146.237 ;138.129 ;81.859 ;56.270
09/1999;148.640 ;139.151 ;81.618 ;57.533
10/1999;150.134 ;142.668 ;83.799 ;58.869
11/1999;151.201 ;144.621 ;85.377 ;59.244
12/1999;144.992 ;143.513 ;85.919 ;57.594
01/2000;144.884 ;144.312 ;86.128 ;58.184
02/2000;145.104 ;142.468 ;84.145 ;58.323
03/2000;143.787 ;142.300 ;82.067 ;60.233
04/2000;145.730 ;145.875 ;85.296 ;60.579
05/2000;162.150 ;150.084 ;88.490 ;61.594
06/2000;155.612 ;151.393 ;89.491 ;61.902
07/2000;156.391 ;153.511 ;91.703 ;61.808
08/2000;153.805 ;156.452 ;93.764 ;62.688
09/2000;149.206 ;159.462 ;96.389 ;63.073
10/2000;147.017 ;165.875 ;101.198 ;64.677
11/2000;143.217 ;177.565 ;105.836 ;71.729
12/2000;143.973 ;182.856 ;110.394 ;72.462
01/2001;142.465 ;184.227 ;110.631 ;73.596
02/2001;144.619 ;190.662 ;114.419 ;76.243
03/2001;146.706 ;197.205 ;117.331 ;79.874
04/2001;146.182 ;203.378 ;120.625 ;82.753
05/2001;147.800 ;208.133 ;123.220 ;84.913
06/2001;108.276 ;211.219 ;125.252 ;85.967
07/2001;109.465 ;215.092 ;126.851 ;88.241
08/2001;113.118 ;219.021 ;128.509 ;90.512
09/2001;116.328 ;224.326 ;130.855 ;93.471
10/2001;118.270 ;225.294 ;131.822 ;93.472
11/2001;121.115 ;223.888 ;130.968 ;92.920
12/2001;116.133 ;220.240 ;130.345 ;89.895
01/2002;117.589 ;220.150 ;131.079 ;89.071
