Data;20786 - Spread medio das operacoes de credito com recursos livres - Total - p.p.;20787 - Spread medio das operacoes de credito com recursos livres - Pessoas juridicas - Total - p.p.;20809 - Spread medio das operacoes de credito com recursos livres - Pessoas fisicas - Total - p.p.
03/2011;25,93 ;15,52 ;35,19
04/2011;26,62 ;15,89 ;36,20
05/2011;26,46 ;15,73 ;36,09
06/2011;26,34 ;15,62 ;35,97
07/2011;26,54 ;15,82 ;36,11
08/2011;26,11 ;15,06 ;35,99
09/2011;27,01 ;15,80 ;37,10
10/2011;27,70 ;15,76 ;38,47
11/2011;27,20 ;15,73 ;37,50
12/2011;25,20 ;14,31 ;35,15
01/2012;26,46 ;15,07 ;36,85
02/2012;27,28 ;15,44 ;38,01
03/2012;27,04 ;15,07 ;38,05
04/2012;26,49 ;14,40 ;37,76
05/2012;24,84 ;13,43 ;35,52
06/2012;24,06 ;12,66 ;34,87
07/2012;23,83 ;12,94 ;34,14
08/2012;23,24 ;12,73 ;33,18
09/2012;23,07 ;12,40 ;33,28
10/2012;22,67 ;12,05 ;32,78
11/2012;22,54 ;12,43 ;32,24
12/2012;21,26 ;11,33 ;30,88
01/2013;21,95 ;12,40 ;31,07
02/2013;22,29 ;12,27 ;31,87
03/2013;21,61 ;11,84 ;31,11
04/2013;21,71 ;12,09 ;30,98
05/2013;21,34 ;11,65 ;30,64
06/2013;20,62 ;10,95 ;30,02
07/2013;21,36 ;11,49 ;30,83
08/2013;21,36 ;11,64 ;30,68
09/2013;21,40 ;11,56 ;30,90
10/2013;21,91 ;11,51 ;31,89
11/2013;21,84 ;11,62 ;31,66
12/2013;21,13 ;11,25 ;30,78
01/2014;22,44 ;12,40 ;32,11
02/2014;23,68 ;12,60 ;34,37
03/2014;23,82 ;12,66 ;34,61
04/2014;23,81 ;12,64 ;34,66
05/2014;24,23 ;12,79 ;35,37
06/2014;24,71 ;12,76 ;36,43
07/2014;25,15 ;13,38 ;36,67
08/2014;25,16 ;12,99 ;37,01
09/2014;24,55 ;12,78 ;36,02
10/2014;25,47 ;13,13 ;37,44
11/2014;25,47 ;12,81 ;37,75
12/2014;24,61 ;12,55 ;36,45
01/2015;26,54 ;13,64 ;38,99
02/2015;27,46 ;13,97 ;40,56
03/2015;27,21 ;13,97 ;40,12
04/2015;28,41 ;14,51 ;41,96
05/2015;29,09 ;14,42 ;43,34
06/2015;29,75 ;14,79 ;44,41
07/2015;30,67 ;15,28 ;45,65
08/2015;31,05 ;15,38 ;46,31
09/2015;30,89 ;15,42 ;46,16
10/2015;32,00 ;15,68 ;48,00
11/2015;32,66 ;16,08 ;48,73
12/2015;31,08 ;14,89 ;47,04
01/2016;33,62 ;16,81 ;50,02
02/2016;35,15 ;17,51 ;52,10
03/2016;36,44 ;17,60 ;54,39
04/2016;38,05 ;17,81 ;56,98
05/2016;38,50 ;17,69 ;57,69
06/2016;38,36 ;17,86 ;57,25
07/2016;39,21 ;18,29 ;58,05
08/2016;39,71 ;18,40 ;58,51
09/2016;40,22 ;17,65 ;60,09
10/2016;41,18 ;18,55 ;60,82
11/2016;40,84 ;17,87 ;60,58
12/2016;39,12 ;16,51 ;58,76
01/2017;40,94 ;18,11 ;60,32
02/2017;41,55 ;18,29 ;61,09
03/2017;41,03 ;17,49 ;60,69
04/2017;38,37 ;16,89 ;56,28
05/2017;35,95 ;16,60 ;51,80
06/2017;35,59 ;15,47 ;51,92
07/2017;37,28 ;16,77 ;53,92
08/2017;36,68 ;16,03 ;52,99
09/2017;34,53 ;15,38 ;49,67
10/2017;34,89 ;15,56 ;50,03
11/2017;34,13 ;15,20 ;48,82
12/2017;31,56 ;13,76 ;45,58
01/2018;32,57 ;14,87 ;46,46
02/2018;33,60 ;14,55 ;48,46
03/2018;33,28 ;14,03 ;48,38
04/2018;32,90 ;13,60 ;48,14
05/2018;30,61 ;13,08 ;44,45
06/2018;28,96 ;11,91 ;42,57
07/2018;28,98 ;12,67 ;41,99
08/2018;28,44 ;12,05 ;41,35
09/2018;28,22 ;12,12 ;41,11
10/2018;29,25 ;12,78 ;42,27
11/2018;29,52 ;12,94 ;42,41
12/2018;27,38 ;11,63 ;39,89
01/2019;29,65 ;13,26 ;42,46
02/2019;30,62 ;12,97 ;44,20
03/2019;30,89 ;12,66 ;44,91
04/2019;30,83 ;12,84 ;44,65
05/2019;30,47 ;12,46 ;44,11
06/2019;30,79 ;12,06 ;45,06
07/2019;31,02 ;12,96 ;44,59
08/2019;30,85 ;12,59 ;44,37
09/2019;29,90 ;11,59 ;43,55
10/2019;29,58 ;12,06 ;42,66
11/2019;29,95 ;11,97 ;43,20
12/2019;27,76 ;11,01 ;40,36
01/2020;28,32 ;12,57 ;40,07
02/2020;28,85 ;11,88 ;41,42
03/2020;27,55 ;11,21 ;40,36
04/2020;25,81 ;11,40 ;38,21
05/2020;24,56 ;9,96 ;37,30
06/2020;22,96 ;9,04 ;35,10
07/2020;22,53 ;8,56 ;34,32
08/2020;21,82 ;8,53 ;33,42
09/2020;20,80 ;7,54 ;32,26
10/2020;21,08 ;7,55 ;32,80
11/2020;20,64 ;7,62 ;31,64
12/2020;20,44 ;7,65 ;31,12
01/2021;22,90 ;10,65 ;33,07
02/2021;22,46 ;9,12 ;33,57
03/2021;21,85 ;8,20 ;33,38
04/2021;22,10 ;8,63 ;33,38
05/2021;21,23 ;8,43 ;31,79
06/2021;21,06 ;8,04 ;31,79
07/2021;21,16 ;8,68 ;31,24
08/2021;21,03 ;8,39 ;31,09
09/2021;21,07 ;8,54 ;31,12
10/2021;22,20 ;9,45 ;32,31
11/2021;22,52 ;9,60 ;32,61
12/2021;23,14 ;9,63 ;33,92
01/2022;24,10 ;10,81 ;34,58
02/2022;24,91 ;10,65 ;36,04
03/2022;25,15 ;10,14 ;36,86
04/2022;25,29 ;10,03 ;37,17
05/2022;25,35 ;10,10 ;37,16
06/2022;25,93 ;10,45 ;37,89
07/2022;26,90 ;10,83 ;39,27
08/2022;27,67 ;10,59 ;40,62
09/2022;27,75 ;10,94 ;40,49
10/2022;29,57 ;11,37 ;43,30
11/2022;29,47 ;10,56 ;43,16
12/2022;28,07 ;10,19 ;41,30
01/2023;29,53 ;12,26 ;42,30
02/2023;30,45 ;11,31 ;44,28
03/2023;30,59 ;11,39 ;44,32
04/2023;32,05 ;11,33 ;46,67
05/2023;32,13 ;11,58 ;46,39
06/2023;31,89 ;11,45 ;46,13
07/2023;31,77 ;11,88 ;45,59
08/2023;31,54 ;11,59 ;45,20
09/2023;31,23 ;11,86 ;44,61
10/2023;30,50 ;11,73 ;43,44
11/2023;30,70 ;11,57 ;43,61
12/2023;30,04 ;10,66 ;43,27
01/2024;29,80 ;12,20 ;41,68
02/2024;29,84 ;11,33 ;42,11
03/2024;30,05 ;10,87 ;42,84
04/2024;29,44 ;10,84 ;41,89
05/2024;29,08 ;10,11 ;41,53
06/2024;28,67 ;9,77 ;41,10
07/2024;28,53 ;10,09 ;40,70
08/2024;28,59 ;9,96 ;40,66
09/2024;28,32 ;9,40 ;40,62
10/2024;28,26 ;9,82 ;40,25
11/2024;28,50 ;9,62 ;40,61
12/2024;27,23 ;8,92 ;39,11
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
