Data;3955 - Spread medio das operacoes de credito com recursos livres referenciais                para taxa de juros (pre-fixado) - Total geral - p.p.;3956 - Spread medio das operacoes de credito com recursos livres referenciais                para taxa de juros (pre-fixado) - Total pessoa juridica - p.p.;3957 - Spread medio das operacoes de credito com recursos livres referenciais                para taxa de juros (pre-fixado) - Total pessoa fisica - p.p.
07/1994;126,07 ;86,37 ;163,96
08/1994;113,05 ;71,45 ;153,86
09/1994;110,39 ;68,98 ;150,89
10/1994;114,98 ;73,28 ;155,65
11/1994;127,97 ;89,57 ;164,71
12/1994;139,22 ;100,18 ;176,69
01/1995;139,52 ;102,22 ;175,12
02/1995;146,44 ;106,52 ;184,80
03/1995;135,14 ;102,48 ;165,67
04/1995;143,59 ;105,64 ;179,49
05/1995;144,76 ;106,67 ;180,98
06/1995;137,35 ;100,15 ;172,73
07/1995;134,68 ;99,37 ;168,15
08/1995;139,42 ;106,41 ;170,49
09/1995;137,62 ;101,94 ;171,62
10/1995;135,46 ;103,71 ;165,35
11/1995;132,73 ;100,98 ;162,69
12/1995;127,34 ;97,05 ;155,87
01/1996;104,61 ;69,05 ;139,22
02/1996;106,90 ;63,51 ;150,53
03/1996;96,75 ;60,46 ;132,49
04/1996;94,89 ;59,49 ;129,72
05/1996;86,89 ;54,04 ;119,02
06/1996;81,39 ;50,92 ;111,01
07/1996;77,61 ;49,72 ;104,49
08/1996;73,06 ;47,04 ;97,97
09/1996;72,15 ;46,40 ;96,80
10/1996;56,35 ;42,23 ;92,45
11/1996;56,01 ;41,96 ;88,65
12/1996;56,37 ;43,26 ;84,37
01/1997;54,91 ;41,50 ;80,39
02/1997;59,14 ;43,84 ;83,60
03/1997;58,11 ;43,82 ;80,97
04/1997;54,53 ;41,49 ;74,18
05/1997;55,43 ;38,95 ;80,92
06/1997;54,07 ;37,17 ;80,43
07/1997;51,81 ;35,55 ;77,22
08/1997;52,95 ;35,85 ;79,57
09/1997;52,06 ;35,01 ;79,07
10/1997;50,67 ;34,09 ;77,17
11/1997;62,61 ;43,56 ;93,24
12/1997;63,26 ;45,09 ;93,50
01/1998;61,47 ;41,88 ;93,87
02/1998;70,24 ;48,31 ;105,61
03/1998;65,60 ;44,86 ;98,52
04/1998;67,70 ;45,66 ;103,29
05/1998;59,99 ;38,72 ;95,33
06/1998;57,10 ;36,25 ;93,35
07/1998;54,57 ;36,04 ;86,64
08/1998;52,27 ;34,92 ;83,12
09/1998;56,61 ;39,44 ;87,55
10/1998;61,22 ;42,70 ;95,47
11/1998;62,75 ;43,57 ;98,33
12/1998;58,44 ;41,29 ;92,25
01/1999;58,23 ;41,66 ;89,74
