data;var_%_ipca_12m
1994-01-01;2693,84
1994-02-01;3035,71
1994-03-01;3417,39
1994-04-01;3828,49
1994-05-01;4331,19
1994-06-01;4922,6
1994-07-01;4005,08
1994-08-01;3044,89
1994-09-01;2253,15
1994-10-01;1703,17
1994-11-01;1267,54
1994-12-01;916,46
1995-01-01;631,54
1995-02-01;426,83
1995-03-01;274,78
1995-04-01;169,05
1995-05-01;91,79
1995-06-01;33,03
1995-07-01;27,45
1995-08-01;26,36
1995-09-01;25,69
1995-10-01;24,21
1995-11-01;22,59
1995-12-01;22,41
1996-01-01;21,97
1996-02-01;21,99
1996-03-01;20,55
1996-04-01;19,17
1996-05-01;17,49
1996-06-01;16,26
1996-07-01;14,84
1996-08-01;14,21
1996-09-01;13,26
1996-10-01;12,02
1996-11-01;10,75
1996-12-01;9,56
1997-01-01;9,39
1997-02-01;8,82
1997-03-01;8,99
1997-04-01;8,58
1997-05-01;7,71
1997-06-01;7,02
1997-07-01;6,08
1997-08-01;5,59
1997-09-01;5,5
1997-10-01;5,42
1997-11-01;5,27
1997-12-01;5,22
1998-01-01;4,73
1998-02-01;4,69
1998-03-01;4,52
1998-04-01;3,85
1998-05-01;3,95
1998-06-01;3,41
1998-07-01;3,06
1998-08-01;2,55
1998-09-01;2,27
1998-10-01;2,05
1998-11-01;1,76
1998-12-01;1,65
1999-01-01;1,65
1999-02-01;2,24
1999-03-01;3,02
1999-04-01;3,35
1999-05-01;3,14
1999-06-01;3,32
1999-07-01;4,57
1999-08-01;5,69
1999-09-01;6,25
1999-10-01;7,5
1999-11-01;8,65
1999-12-01;8,94
2000-01-01;8,85
2000-02-01;7,86
2000-03-01;6,92
2000-04-01;6,77
2000-05-01;6,47
2000-06-01;6,51
2000-07-01;7,06
2000-08-01;7,86
2000-09-01;7,77
2000-10-01;6,65
2000-11-01;5,99
2000-12-01;5,97
2001-01-01;5,92
2001-02-01;6,27
2001-03-01;6,44
2001-04-01;6,61
2001-05-01;7,04
2001-06-01;7,35
2001-07-01;7,05
2001-08-01;6,41
2001-09-01;6,46
2001-10-01;7,19
2001-11-01;7,61
2001-12-01;7,67
2002-01-01;7,62
2002-02-01;7,51
