Data;21085 - Inadimplência da carteira de crédito com recursos livres - Total - %;21086 - Inadimplência da carteira de crédito com recursos livres - Pessoas jurídicas - Total - %;21112 - Inadimplência da carteira de crédito com recursos livres - Pessoas físicas - Total - %;21132 - Inadimplência da carteira de crédito com recursos direcionados - Total - %;21133 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Total - %;21145 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Total - %
03/2011;4,41 ;3,18 ;5,54 ;1,18 ;0,51 ;2,43
04/2011;4,55 ;3,33 ;5,68 ;1,13 ;0,48 ;2,30
05/2011;4,72 ;3,49 ;5,88 ;1,18 ;0,54 ;2,35
06/2011;4,71 ;3,42 ;5,93 ;1,08 ;0,47 ;2,17
07/2011;4,89 ;3,57 ;6,13 ;1,07 ;0,51 ;2,08
08/2011;4,96 ;3,53 ;6,31 ;1,06 ;0,51 ;2,00
09/2011;4,97 ;3,47 ;6,39 ;1,08 ;0,54 ;2,04
10/2011;5,12 ;3,61 ;6,53 ;1,17 ;0,55 ;2,21
11/2011;5,16 ;3,58 ;6,65 ;1,14 ;0,55 ;2,15
12/2011;5,14 ;3,50 ;6,72 ;1,09 ;0,55 ;2,03
01/2012;5,33 ;3,62 ;6,94 ;1,12 ;0,57 ;2,05
02/2012;5,42 ;3,74 ;7,00 ;1,10 ;0,50 ;2,08
03/2012;5,32 ;3,64 ;6,96 ;1,13 ;0,53 ;2,10
04/2012;5,41 ;3,71 ;7,06 ;1,24 ;0,72 ;2,08
05/2012;5,49 ;3,74 ;7,20 ;1,13 ;0,51 ;2,11
06/2012;5,40 ;3,63 ;7,15 ;1,14 ;0,57 ;2,02
07/2012;5,43 ;3,67 ;7,17 ;1,13 ;0,58 ;1,99
08/2012;5,50 ;3,78 ;7,18 ;1,14 ;0,60 ;1,96
09/2012;5,45 ;3,71 ;7,20 ;1,14 ;0,57 ;2,02
10/2012;5,47 ;3,82 ;7,13 ;1,24 ;0,73 ;2,01
11/2012;5,36 ;3,76 ;6,97 ;1,22 ;0,70 ;2,01
12/2012;5,28 ;3,70 ;6,90 ;1,08 ;0,53 ;1,90
01/2013;5,29 ;3,75 ;6,82 ;1,06 ;0,51 ;1,88
02/2013;5,24 ;3,76 ;6,72 ;1,10 ;0,52 ;1,97
03/2013;5,12 ;3,64 ;6,63 ;1,14 ;0,52 ;2,06
04/2013;5,12 ;3,70 ;6,54 ;1,22 ;0,68 ;2,01
05/2013;5,15 ;3,73 ;6,57 ;1,21 ;0,60 ;2,10
06/2013;4,87 ;3,45 ;6,32 ;1,10 ;0,57 ;1,87
07/2013;4,87 ;3,49 ;6,25 ;1,05 ;0,48 ;1,87
08/2013;4,77 ;3,42 ;6,12 ;1,04 ;0,47 ;1,84
09/2013;4,73 ;3,38 ;6,08 ;1,09 ;0,50 ;1,92
