Data;21146 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Crédito rural com taxas de mercado - %;21147 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Crédito rural com taxas reguladas - %;21149 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Financiamento imobiliário com taxas de mercado - %;21150 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Financiamento imobiliário com taxas reguladas - %;21152 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Capital de giro com recursos do BNDES - %;21153 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Financiamento de investimentos com recursos do BNDES - %;21154 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Financiamento agroindustrial com recursos do BNDES - %;21156 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Microcrédito destinado a consumo - %;21157 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Microcrédito destinado a microempreendedores - %;21160 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas físicas - Outros créditos direcionados - %
03/2011;2,36 ;2,08 ;4,70 ;1,90 ;0,00 ;2,90 ;3,35 ;8,05 ;2,14 ;13,22
04/2011;2,41 ;1,92 ;4,40 ;1,82 ;0,00 ;2,71 ;3,17 ;8,37 ;2,18 ;12,44
05/2011;2,17 ;1,69 ;4,94 ;1,96 ;0,00 ;3,02 ;3,05 ;9,21 ;2,21 ;11,45
06/2011;1,85 ;1,55 ;4,82 ;1,76 ;0,00 ;2,60 ;2,94 ;9,65 ;2,21 ;11,44
07/2011;1,87 ;1,44 ;4,59 ;1,68 ;0,00 ;2,58 ;2,86 ;10,18 ;2,29 ;11,35
08/2011;1,91 ;1,39 ;4,44 ;1,59 ;0,00 ;2,70 ;2,99 ;10,68 ;2,38 ;11,74
09/2011;1,88 ;1,37 ;4,40 ;1,65 ;0,00 ;2,77 ;2,95 ;10,83 ;2,49 ;12,09
10/2011;2,33 ;1,49 ;4,58 ;1,87 ;0,00 ;2,84 ;2,81 ;11,38 ;2,55 ;13,30
11/2011;2,41 ;1,39 ;4,70 ;1,83 ;0,00 ;2,82 ;2,57 ;11,08 ;2,37 ;13,16
12/2011;2,01 ;1,44 ;4,72 ;1,61 ;0,00 ;2,87 ;2,45 ;11,03 ;2,18 ;14,08
01/2012;2,08 ;1,51 ;4,84 ;1,56 ;0,00 ;2,80 ;2,65 ;10,94 ;2,20 ;14,50
02/2012;2,04 ;1,36 ;4,91 ;1,70 ;0,00 ;2,89 ;2,53 ;10,46 ;2,16 ;14,07
03/2012;2,04 ;1,34 ;4,93 ;1,73 ;0,00 ;2,81 ;2,81 ;10,29 ;2,07 ;12,65
04/2012;1,93 ;1,24 ;5,02 ;1,75 ;0,00 ;2,79 ;2,57 ;10,20 ;2,02 ;11,88
05/2012;1,68 ;1,39 ;5,15 ;1,76 ;0,00 ;2,89 ;2,33 ;10,27 ;1,93 ;11,39
06/2012;1,41 ;1,31 ;5,10 ;1,69 ;0,00 ;3,02 ;2,14 ;9,99 ;1,83 ;10,47
07/2012;1,43 ;1,43 ;5,01 ;1,60 ;0,00 ;3,02 ;1,97 ;9,94 ;1,82 ;10,40
08/2012;1,49 ;1,47 ;4,79 ;1,56 ;0,00 ;3,02 ;2,19 ;9,59 ;1,76 ;10,41
09/2012;1,58 ;1,46 ;4,68 ;1,68 ;0,00 ;3,13 ;2,05 ;9,18 ;1,80 ;10,03
10/2012;1,78 ;1,58 ;4,54 ;1,64 ;0,00 ;3,30 ;2,13 ;7,18 ;1,63 ;10,20
11/2012;1,72 ;1,50 ;4,45 ;1,71 ;0,00 ;3,14 ;1,94 ;6,34 ;1,67 ;9,91
12/2012;1,84 ;1,47 ;4,29 ;1,57 ;0,00 ;3,75 ;1,74 ;5,67 ;1,63 ;10,41
01/2013;1,80 ;1,53 ;4,04 ;1,57 ;0,00 ;3,93 ;1,54 ;5,04 ;1,79 ;10,52
02/2013;1,89 ;1,54 ;3,93 ;1,76 ;0,00 ;3,98 ;1,28 ;4,67 ;2,04 ;10,90
03/2013;1,87 ;1,39 ;3,92 ;1,91 ;0,00 ;4,05 ;1,10 ;4,95 ;2,30 ;16,79
04/2013;1,66 ;1,31 ;3,73 ;1,91 ;0,00 ;3,99 ;0,93 ;6,20 ;2,61 ;17,04
05/2013;1,79 ;1,43 ;3,68 ;2,03 ;0,00 ;3,88 ;0,82 ;7,78 ;2,94 ;16,62
06/2013;1,74 ;1,22 ;3,47 ;1,77 ;0,04 ;3,73 ;0,73 ;9,11 ;3,09 ;16,20
07/2013;1,85 ;1,24 ;3,42 ;1,75 ;0,13 ;3,46 ;0,75 ;11,68 ;3,45 ;12,75
08/2013;1,64 ;1,00 ;3,27 ;1,80 ;0,31 ;3,53 ;0,88 ;14,14 ;3,63 ;11,86
09/2013;1,98 ;1,11 ;3,25 ;1,89 ;0,79 ;3,36 ;0,90 ;17,25 ;3,89 ;10,69
10/2013;2,14 ;1,14 ;2,99 ;1,70 ;1,44 ;3,43 ;0,86 ;19,02 ;4,01 ;10,65
11/2013;2,17 ;1,11 ;3,11 ;1,65 ;2,03 ;3,93 ;0,75 ;20,73 ;3,90 ;10,43
12/2013;2,20 ;1,07 ;3,08 ;1,44 ;2,84 ;3,98 ;0,69 ;20,77 ;5,03 ;10,85
01/2014;2,50 ;1,03 ;3,17 ;1,48 ;3,74 ;4,16 ;0,66 ;13,80 ;5,96 ;10,93
02/2014;2,75 ;1,15 ;3,20 ;1,61 ;4,73 ;4,16 ;0,70 ;12,32 ;5,12 ;14,29
03/2014;3,87 ;1,52 ;3,39 ;1,60 ;6,05 ;5,40 ;0,71 ;6,65 ;5,85 ;15,35
04/2014;3,28 ;1,56 ;3,49 ;1,77 ;7,18 ;5,37 ;0,63 ;7,52 ;6,35 ;15,05
05/2014;3,24 ;1,22 ;3,60 ;1,85 ;8,46 ;5,01 ;0,64 ;8,49 ;6,86 ;16,12
06/2014;2,62 ;1,00 ;3,58 ;1,59 ;9,64 ;4,77 ;0,56 ;9,05 ;7,03 ;16,15
07/2014;1,76 ;1,23 ;3,58 ;1,62 ;10,62 ;1,76 ;0,51 ;9,54 ;7,20 ;23,23
08/2014;1,41 ;1,23 ;3,60 ;1,64 ;8,11 ;1,75 ;0,60 ;9,86 ;7,04 ;26,08
09/2014;1,38 ;1,35 ;3,37 ;1,57 ;4,85 ;1,93 ;0,58 ;9,43 ;3,80 ;15,30
10/2014;1,52 ;1,37 ;3,45 ;1,84 ;3,58 ;1,88 ;0,57 ;9,69 ;4,17 ;16,81
11/2014;1,46 ;1,31 ;3,45 ;1,75 ;2,49 ;2,28 ;0,56 ;9,36 ;4,43 ;16,25
12/2014;1,93 ;1,26 ;3,47 ;1,44 ;1,92 ;2,21 ;0,54 ;8,45 ;4,57 ;15,88
01/2015;2,11 ;1,33 ;3,76 ;1,63 ;2,39 ;2,30 ;0,58 ;8,07 ;4,91 ;15,34
02/2015;2,46 ;1,49 ;3,95 ;1,76 ;3,15 ;2,17 ;0,63 ;8,13 ;5,32 ;17,43
03/2015;2,26 ;1,51 ;3,63 ;1,66 ;4,09 ;2,26 ;0,65 ;7,01 ;5,57 ;21,02
04/2015;2,39 ;1,48 ;3,62 ;1,79 ;5,32 ;2,62 ;0,64 ;6,89 ;5,50 ;22,76
05/2015;2,18 ;1,48 ;3,65 ;1,85 ;6,54 ;2,64 ;0,59 ;7,18 ;5,59 ;23,81
06/2015;1,83 ;1,32 ;2,94 ;1,64 ;8,28 ;2,42 ;0,53 ;6,66 ;4,05 ;23,50
07/2015;1,97 ;1,40 ;3,07 ;1,71 ;10,99 ;2,65 ;0,55 ;6,57 ;4,20 ;25,31
08/2015;2,14 ;1,51 ;3,17 ;1,73 ;13,20 ;2,12 ;0,85 ;6,68 ;4,49 ;27,27
09/2015;2,84 ;1,60 ;3,11 ;1,70 ;15,44 ;2,10 ;0,89 ;6,67 ;4,89 ;28,87
10/2015;3,01 ;1,77 ;3,31 ;2,00 ;17,98 ;1,86 ;0,89 ;6,99 ;5,36 ;29,24
