Data;7929 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Cheque especial - %;7930 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Crédito pessoal - %;7931 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Financiamento imobiliário - Pessoa física - %;7932 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Aquisição de bens veículos - Pessoa física - %;7933 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Aquisição de outros bens - Pessoa física - %;7934 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Cartão de crédito - Pessoa física - %;7935 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Outras operações - Pessoa física - %
06/2000;2,74 ;4,25 ;14,16 ;2,55 ;15,32 ;1,92 ;9,71
07/2000;2,92 ;4,60 ;12,93 ;2,18 ;16,98 ;2,40 ;12,22
08/2000;3,26 ;4,63 ;11,90 ;1,96 ;15,35 ;2,93 ;11,93
09/2000;3,16 ;4,72 ;13,79 ;2,17 ;12,64 ;2,88 ;14,37
10/2000;3,24 ;4,96 ;14,00 ;1,92 ;12,10 ;3,04 ;12,48
11/2000;3,37 ;5,40 ;13,51 ;1,83 ;11,70 ;2,91 ;12,56
12/2000;4,26 ;5,35 ;13,89 ;1,85 ;12,25 ;3,12 ;12,32
01/2001;4,23 ;5,54 ;13,66 ;1,85 ;9,46 ;3,05 ;14,81
02/2001;4,53 ;5,64 ;14,33 ;1,89 ;9,45 ;3,13 ;15,20
03/2001;5,30 ;5,66 ;14,67 ;2,00 ;9,56 ;3,40 ;15,21
04/2001;5,57 ;5,74 ;15,05 ;2,01 ;9,79 ;5,19 ;15,70
05/2001;5,80 ;6,00 ;15,33 ;2,18 ;10,16 ;4,98 ;15,51
06/2001;6,19 ;5,95 ;9,15 ;2,36 ;10,16 ;7,60 ;15,80
07/2001;6,78 ;6,42 ;8,69 ;2,54 ;10,60 ;8,01 ;16,89
08/2001;6,84 ;7,24 ;8,51 ;2,56 ;10,37 ;7,76 ;17,18
09/2001;7,29 ;7,10 ;8,55 ;2,68 ;10,52 ;8,05 ;17,18
10/2001;6,79 ;7,49 ;8,31 ;2,57 ;11,06 ;8,81 ;17,06
11/2001;7,21 ;7,78 ;8,23 ;2,71 ;12,19 ;9,09 ;18,49
