Data;21134 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas de mercado - %;21135 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Crédito rural com taxas reguladas - %;21137 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas de mercado - %;21138 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento imobiliário com taxas reguladas - %;21140 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Capital de giro com recursos do BNDES - %;21141 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento de investimentos com recursos do BNDES - %;21142 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Financiamento agroindustrial com recursos do BNDES - %;21144 - Inadimplência da carteira de crédito com recursos direcionados - Pessoas jurídicas - Outros créditos direcionados - %
03/2011;0,34 ;1,71 ;0,48 ;0,20 ;0,07 ;0,20 ;1,20 ;2,90
04/2011;0,31 ;1,57 ;0,45 ;0,23 ;0,08 ;0,21 ;1,52 ;2,50
05/2011;0,36 ;1,55 ;0,48 ;0,26 ;0,10 ;0,22 ;1,92 ;2,94
06/2011;0,35 ;1,44 ;0,43 ;0,21 ;0,08 ;0,24 ;2,11 ;2,11
07/2011;0,78 ;1,40 ;0,17 ;0,31 ;0,10 ;0,26 ;1,91 ;2,15
08/2011;0,79 ;1,25 ;0,41 ;0,66 ;0,11 ;0,27 ;1,61 ;2,06
09/2011;0,75 ;1,29 ;0,15 ;0,25 ;0,25 ;0,35 ;1,48 ;2,00
10/2011;0,75 ;1,45 ;0,85 ;0,25 ;0,25 ;0,34 ;1,56 ;2,04
11/2011;0,83 ;1,34 ;0,93 ;0,27 ;0,26 ;0,35 ;1,26 ;1,99
12/2011;0,81 ;1,23 ;0,91 ;0,24 ;0,38 ;0,36 ;1,13 ;1,98
01/2012;0,61 ;1,23 ;0,93 ;0,21 ;0,40 ;0,36 ;1,24 ;2,24
02/2012;0,05 ;1,27 ;0,90 ;0,20 ;0,40 ;0,39 ;1,15 ;1,58
03/2012;0,04 ;1,45 ;0,52 ;0,16 ;0,47 ;0,43 ;1,24 ;1,70
04/2012;0,03 ;1,48 ;0,63 ;0,20 ;0,35 ;0,69 ;1,16 ;1,64
05/2012;0,03 ;1,63 ;0,59 ;0,20 ;0,35 ;0,40 ;1,10 ;1,63
06/2012;0,03 ;1,65 ;0,56 ;0,22 ;0,13 ;0,49 ;1,27 ;1,54
07/2012;0,04 ;1,51 ;0,64 ;0,21 ;0,14 ;0,50 ;1,23 ;1,70
08/2012;0,05 ;1,42 ;0,62 ;0,32 ;0,21 ;0,50 ;1,45 ;1,73
09/2012;0,06 ;1,21 ;0,56 ;0,25 ;0,21 ;0,50 ;1,45 ;1,45
10/2012;0,12 ;1,14 ;0,55 ;0,24 ;0,23 ;0,72 ;1,66 ;1,57
11/2012;0,15 ;1,12 ;0,54 ;0,20 ;0,21 ;0,68 ;1,64 ;1,48
12/2012;0,15 ;1,13 ;0,72 ;0,11 ;0,18 ;0,46 ;1,58 ;1,38
01/2013;0,15 ;1,12 ;0,53 ;0,15 ;0,25 ;0,43 ;1,82 ;1,32
02/2013;0,15 ;1,12 ;0,54 ;0,21 ;0,28 ;0,44 ;1,87 ;1,15
03/2013;0,15 ;1,09 ;0,57 ;0,30 ;0,35 ;0,45 ;2,47 ;0,94
04/2013;0,15 ;1,11 ;0,66 ;0,32 ;0,35 ;0,64 ;2,38 ;1,20
05/2013;0,17 ;1,14 ;0,78 ;0,20 ;0,34 ;0,53 ;2,27 ;1,15
06/2013;0,12 ;1,07 ;0,75 ;0,30 ;0,37 ;0,51 ;1,62 ;1,04
07/2013;0,14 ;1,19 ;0,76 ;0,35 ;0,34 ;0,38 ;1,74 ;1,03
08/2013;0,18 ;1,07 ;0,79 ;0,28 ;0,41 ;0,39 ;1,67 ;0,91
09/2013;0,19 ;1,09 ;0,84 ;0,43 ;0,48 ;0,40 ;1,70 ;0,98
10/2013;0,20 ;1,06 ;0,42 ;0,38 ;0,38 ;0,42 ;1,23 ;1,01
11/2013;0,19 ;1,04 ;0,48 ;0,45 ;0,43 ;0,39 ;1,14 ;1,01
12/2013;0,17 ;1,03 ;0,35 ;0,34 ;0,46 ;0,35 ;1,00 ;0,92
01/2014;0,20 ;1,05 ;0,55 ;0,28 ;0,55 ;0,34 ;1,11 ;0,94
02/2014;0,24 ;1,04 ;0,63 ;0,35 ;0,48 ;0,35 ;1,10 ;0,94
03/2014;0,20 ;0,98 ;0,51 ;0,35 ;0,55 ;0,36 ;1,06 ;1,15
04/2014;0,20 ;0,98 ;0,44 ;0,48 ;0,65 ;0,37 ;1,11 ;1,22
05/2014;0,16 ;0,86 ;0,44 ;0,46 ;0,69 ;0,39 ;1,02 ;1,08
06/2014;0,17 ;0,82 ;0,50 ;0,48 ;0,67 ;0,43 ;0,98 ;1,24
07/2014;0,16 ;0,77 ;0,56 ;0,41 ;0,73 ;0,41 ;0,81 ;1,31
08/2014;0,20 ;0,78 ;0,93 ;0,35 ;1,04 ;0,41 ;0,71 ;1,23
09/2014;0,25 ;0,79 ;0,64 ;0,44 ;1,04 ;0,39 ;0,78 ;1,05
10/2014;0,30 ;0,92 ;0,81 ;0,36 ;1,09 ;0,39 ;0,82 ;1,14
11/2014;0,29 ;0,92 ;0,61 ;0,42 ;1,08 ;0,38 ;1,01 ;1,09
12/2014;0,33 ;0,93 ;0,57 ;0,41 ;0,98 ;0,37 ;0,98 ;1,02
01/2015;0,38 ;0,98 ;0,73 ;0,40 ;0,97 ;0,42 ;0,96 ;1,05
02/2015;0,44 ;1,02 ;0,76 ;0,43 ;1,04 ;0,44 ;1,28 ;0,93
03/2015;0,44 ;1,05 ;0,76 ;0,31 ;1,15 ;0,51 ;1,44 ;0,80
04/2015;0,42 ;1,09 ;1,08 ;0,82 ;1,18 ;0,59 ;1,17 ;0,83
05/2015;0,54 ;1,12 ;1,02 ;0,41 ;0,98 ;0,62 ;1,22 ;0,81
06/2015;0,58 ;1,11 ;0,69 ;0,29 ;0,99 ;0,63 ;1,36 ;0,79
07/2015;0,57 ;1,05 ;0,82 ;0,51 ;1,04 ;0,65 ;1,50 ;0,94
08/2015;0,60 ;1,02 ;0,79 ;0,49 ;1,11 ;0,68 ;1,53 ;0,98
09/2015;0,51 ;1,02 ;0,78 ;0,44 ;1,16 ;0,70 ;1,81 ;0,93
