Data;7917 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Hot money - %;7918 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Desconto de duplicatas - %;7919 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Desconto de notas promissórias - %;7920 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Capital de giro - %;7921 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Conta garantida - %;7922 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Financiamento imobiliário - Pessoa jurídica - %;7923 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Aquisição de bens - Pessoa jurídica - %;7924 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Vendor - %;7925 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Adiantamento sobre contrato de câmbio (ACC - %;7926 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Export notes - %;7927 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Repasses externos - %;7928 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Outras operações - Pessoa jurídica - %;8314 - Operações de crédito com recursos livres referenciais                para taxa de juros - Inadimplência acima de 90 dias em relação ao total da modalidade - Financiamento a importações e outros - %
jun/00;5,83;2,53;0,86;5,82;1,27;58,59;5,25;0,78;1,17;0;4,26;10,3;9,54
jul/00;3,52;2,65;0,81;5,73;0,83;59,47;4,72;1,01;0,65;0;4,47;11,16;7,44
ago/00;5,76;2,62;1,3;5,36;0,8;53,45;4,89;1,22;0,38;0;4,79;12,48;5,88
set/00;4,77;2,47;1,5;4,88;0,75;55,75;4,73;1,13;3,81;0;3,9;14,71;6,68
out/00;4,62;2,31;1,49;4,2;0,88;62,45;4,66;0,96;3,86;0;3,64;7,4;6,79
nov/00;4,5;2,29;1,32;4,09;0,87;61,6;4,62;0,65;0,59;0;3,93;13,94;5,26
dez/00;5,13;2,05;1,18;3,84;0,85;66,19;4,46;0,53;0,57;1,65;3,51;11,51;5,96
jan/01;5;2,54;1,68;4,27;0,91;65,34;3,23;0,57;0,59;0;3,52;8,97;4,86
fev/01;4,57;2,66;1,81;4,15;0,74;69,14;3,39;0,69;0,5;0;3,31;8,45;5,07
mar/01;5,35;2,63;2,12;4,05;0,94;66,69;1,54;0,55;0,52;0;2,79;8,45;4,27
abr/01;5,32;2,89;2,39;4,22;0,87;67,69;1,36;0,55;0,42;0;2,55;5,96;3,93
mai/01;8,55;2,96;2,89;4,61;1,04;68,45;1,55;0,67;0,44;0;2,93;6,28;4,39
jun/01;4,92;3,13;3,13;4,39;1,06;10,01;1,44;0,67;0,41;0;2,49;6,33;3,94
jul/01;4,64;3,26;3,61;3,9;1,07;10,83;1,52;0,84;0,44;0;2,14;6,4;3,35
ago/01;3,98;3,35;3,94;3,75;1,08;11,21;1,5;0,78;0,45;0;1,9;6,65;3,23
set/01;2,25;3,17;4,13;3,67;1,07;10,76;1,67;0,75;0,41;0;1,86;7,67;3,36
