inicio;instituicao;fim;evento
1995-07-01;ITAU;;AQUISICAO BFB
1995-11-01;UNIBANCO;;AQUISICAO BANCO NACIONAL
1996-12-01;ITAU;;AQUISICAO BANERJ
1997-12-01;SANTANDER;;AQUISICAO BANCO GERAL DO COMERCIO E NOROESTE
1997-12-01;BRADESCO;;AQUISICAO CREDIREAL
1998-05-01;ITAU;;AQUISICAO BANCO DEL BUEN AYRE (ARGENTINA)
1998-06-01;UNIBANCO;;AQUISICAO DIBENS
1998-06-01;HSBC;;AQUISICAO BAMERINDUS
1998-06-01;BRADESCO;;AQUISICAO BCN
1998-06-01;SANTANDER;;AQUISICAO BONZANO, SIMONSEN
1998-12-01;ITAU;;AQUISICAO BEMGE
1999-06-01;ABN AMRO;;AQUISICAO BANCO REAL
1999-12-01;BRADESCO;;AQUISICAO BANEB E PONTUAL
2000-06-01;UNIBANCO;;AQUISICAO CREDIBANCO
2000-09-01;SANTANDER;;AQUISICAO BANCO MERIDIONAL
2000-12-01;UNIBANCO;;AQUISICAO BANCO BANDEIRANTES
2000-12-01;BRADESCO;;AQUISICAO BANCO BOAVISTA
2000-12-01;ITAU;;AQUISICAO BANESTADO
2001-03-01;SANTANDER;;AQUISICAO BANESPA
2002-02-01;BRADESCO;;AQUISICAO BANCO CIDADE
2002-03-01;BRADESCO;;AQUISICAO MERCANTIL DE SP
2002-03-01;ITAU;;AQUISICAO BEG
2002-09-01;ITAU;;AQUISICAO BBA-CREDITANSTALT
2003-06-01;BRADESCO;;AQUISICAO BBVA BRASIL
2003-12-01;ABN AMRO;;AQUISICAO SUDAMERIS
2004-02-01;BRADESCO;;AQUISICAO BEM
2004-03-01;HSBC;;AQUISICAO LLOYDS BANK
2004-06-01;UNIBANCO;;AQUISICAO BNL
2006-05-01;ITAU;;AQUISICAO BANK BOSTON
2007-01-01;BRADESCO;;AQUISICAO BMC
2007-05-01;SANTANDER;;AQUISICAO ABN AMRO BANCO REAL 
2008-11-01;ITAU;;FUSAO UNIBANCO
2010-10-01;BRADESCO;;AQUISICAO BANCO IBI
2014-01-01;ITAU;;AQUISICAO CONTROLE CORPBANCA
2016-07-01;BRADESCO;;AQUISICAO HSBC
2016-10-01;ITAU;;AQUISICAO VAREJO CITIBANK
